Movement sheet
Period: 14.09.2026 00:00 - 16.09.2026 23:59 UTC
Weight unit: Kg
Type,D,L,A,MVT Nr,Reg,From,STD,ATD,A/B,To,STA,LND,ATA,Int/Dom,F/T/O,Net/Com,OPR,EQP,I/O/T,Date,Dep delay,Arr delay,Net Freight,Nr of ULD,Gross,Underload,AMPL,TMPL,Pos,Vol%,Comment,FL,Seals,Routes,Property,Bulletins
CL,X,X,X,ZZ101,N001ZZ,CVG,18:50,19:32 A,19:45 A,XXA,03:00,03:10 A,03:17 A,I,F,N,ZZA,77X,T,14.09.2026,93A/09/28A/00:17/00:15/00:10,,46000,38,56000,49000,105000,106000,38,77,,F,,,,
CL,X,X,X,ZZ102,N002ZZ,CVG,19:10,22:19 A,22:35 A,XXB,09:00,12:19 A,12:40 A,I,F,N,ZZA,74Y,T,14.09.2026,43/03:09,81/00:31,37000,28,44000,9000,54000,117000,43,47,,F,,,,
CL,X,X,X,ZZ103,N003ZZ,CVG,02:00,02:06 A,02:17 A,XXC,04:35,04:27 A,04:35 A,D,F,N,ZZB,76Y,T,14.09.2026,87E/00:06,,40000,38,48000,5800,54000,57000,38,86,,F,,,,
T/GR,,,,63100001,N004ZZ,CVG,14:10,,,CVG,20:15,,,D,F,N,ZZA,77X,T,14.09.2026,,,,,,,,106000,,,,,,,,
CL,X,X,X,ZZ104,N005ZZ,CVG,20:55,08:03 A,08:23 A,XXD,10:45,21:18 A,21:25 A,I,F,N,ZZC,77V,T,14.09.2026,93A/72/93B/01:05/09:45/00:18,,51000,36,58000,1200,60000,100000,47,66,,DF,,,,
CL,X,X,X,ZZ105,N006ZZ,CVG,08:50,13:01 A,13:24 A,XXE,12:15,16:00 A,16:12 A,I,F,N,ZZB,76Y,T,15.09.2026,41B/88/03:51/00:20,,39000,34,46000,6500,52000,54000,35,77,,F,,,,
CL,X,X,X,ZZ106,N007ZZ,CVG,04:15,04:20 A,04:32 A,XXF,05:52,05:26 A,05:30 A,D,F,N,ZZB,76Y,T,15.09.2026,,,30000,32,37000,11000,48000,54000,35,75,,F,,,,
CL,X,X,X,ZZ107,N008ZZ,CVG,06:07,06:27 A,06:30 A,XXG,08:17,07:34 A,07:43 A,D,F,N,ZZC,75C,T,15.09.2026,2/00:20,,17000,15,21000,13000,34000,34000,15,85,,F,,,,
CL,X,X,X,ZZ108,N009ZZ,CVG,07:48,08:20 A,08:35 A,XXH,10:28,09:47 A,10:14 A,D,F,N,ZZB,76Y,T,15.09.2026,36A/41A/00:07/00:18,,29000,33,37000,18000,55000,57000,33,79,,F,,,,
T/XL/AH,,,,ZZ9101P,9,CVG,20:00,,,CVG,22:00,,,D,F,N,ZZC,75V,T,15.09.2026,,,,,,,,,,,,,,,,
CL,X,X,X,ZZ109,N010ZZ,CVG,09:05,14:08 A,14:24 A,XXI,23:05,04:30 A,04:46 A,I,F,N,ZZD,77X,T,16.09.2026,42/05:03,89/00:38,21000,13,25000,66000,91000,110000,47,20,,F,,,,
CL,X,X,X,ZZ110,N011ZZ,CVG,10:30,10:50 A,10:55 A,XXJ,14:10,14:05 A,14:12 A,I,F,N,ZZA,99Z,T,16.09.2026,999/00:20,,22000,20,27000,14000,41000,45000,22,68,,F,,,,
CL,X,X,X,ZZ111,N012ZZ,CVG,11:00,11:20 A,11:35 A,XXK,15:00,15:10 A,15:20 A,I,F,N,ZZA,76V,T,16.09.2026,32A/22A/00:12,,25000,24,31000,16000,47000,54000,28,70,,F,,,,
CL,X,X,X,ZZ112,N013ZZ,XXL,12:00,12:05 A,12:15 A,CVG,16:30,16:20 A,16:28 A,I,F,N,ZZB,76Y,T,16.09.2026,32A/00:05,,26000,26,32000,15000,47000,54000,30,72,,F,,,,
CL,X,X,X,ZZ113,N014ZZ,XXM,13:00,13:30 A,13:40 A,XXN,17:30,18:05 A,18:12 A,I,F,N,ZZD,77X,T,16.09.2026,26/00:30,,48000,36,56000,40000,96000,106000,40,78,,F,,,,
Total Weight In:,1234567,Total Weight Out:,0,Total Weight:,1234567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
